Model,MAE,MSE,RMSE,R2 Score
Random Forest,31636.19363129845,2398820115.3845725,48977.751228334,0.8169411111174801
Decision Tree,43577.561046511626,4766379581.679263,69038.97147031713,0.6362677865594544
Linear Regression,50670.7382409741,4908476721.156608,70060.52184473512,0.6254240620553613
